Weight,Ticket #,Priority,Queue,Problem Description,Company,Location,Category,Problem Type,Problem Subtype,Last Modified,Date Opened,Action,Assigned To,Created By,Last Update,Ticket State
7,2326450,3,Problem Circuits,Chronic Circuit Master Ticket,Axiall Corporation,"9315 28th Ave, Edmonton T6N 1N1",Global,Problem,Circuit,4/28/2014 4:52,4/28/2014 4:52,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2326446 has been associated to t,Active
4,2328874,3,Problem Circuits,Chronic Circuit Master Ticket,"Argo International, Inc.","4391 Harvester Rd., Suite1, Burlington ON L7L 4X1",Enterprise,Problem,Circuit,4/28/2014 15:44,4/28/2014 15:44,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2328870 has been associated to t,Active
9,2329510,3,Problem Circuits,Chronic Circuit Master Ticket,WTAS,"222 W Adams St 2250 Chicago, IL 60606",Global,Problem,Circuit,4/29/2014 6:14,4/29/2014 6:14,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2329506 has been associated to t,Active
4,2331222,3,Problem Circuits,Chronic Circuit Master Ticket,Daily Express,4035 Old North Point Road Baltimore MD 2,Enterprise,Problem,Circuit,4/29/2014 15:49,4/29/2014 15:49,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2331218 has been associated to t,Active
1,2334130,3,Problem Circuits,Chronic Circuit Master Ticket,Bailey Lumber,1075 Hwy 90 Bay St. Louis MS 39520,Commercial,Problem,Circuit,4/30/2014 20:37,4/30/2014 20:36,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2334126 has been associated to t,Active
1,2334242,3,Problem Circuits,Chronic Circuit Master Ticket,Egret Cove Center,"550 62nd Street S, St. Petersburg, FL 33707",Commercial,Problem,Circuit,5/1/2014 1:06,5/1/2014 1:06,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2334238 has been associated to t,Active
1,2334278,3,Problem Circuits,Chronic Circuit Master Ticket,"Accumark, Inc.",9500 King Air Ct. Ashland VA 23005,Commercial,Problem,Circuit,5/1/2014 2:19,5/1/2014 2:19,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2334274 has been associated to t,Active
7,2334970,3,Problem Circuits,Chronic Circuit Master Ticket,Axiall Corporation,"10068 Summit Dr, Prairie, MS 39756",Global,Problem,Circuit,5/1/2014 10:59,5/1/2014 10:59,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2334966 has been associated to t,Active
1,2336706,3,Problem Circuits,Chronic Circuit Master Ticket,"Senior Health-TNC, LLC","1514 E Chelsea Street Tampa, FL 33610-6114",Commercial,Problem,Circuit,5/2/2014 9:28,5/2/2014 9:28,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2336702 has been associated to t,Active
7,2307526,3,Problem Circuits,Chronic Circuit Master Ticket,Morrison Supply Company,"BRANCH# 79 - 7705 Quaker Ave., Lubbock, TX 79424",Global,Problem,Circuit,5/3/2014 5:30,4/16/2014 19:53,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2338370 has been associated to t,Active
5,2312886,3,Problem Circuits,Chronic Circuit Master Ticket,"Justin Brands, Inc","1137 Tony Lama St., El Paso, TX 79915",Enterprise,Problem,Circuit,5/4/2014 10:21,4/19/2014 20:33,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2338806 has been associated to t,Active
4,2339354,3,Problem Circuits,Chronic Circuit Master Ticket,Radiance Technologies,"7272 Governors West Huntsville, AL 35806",Enterprise,Problem,Circuit,5/5/2014 9:44,5/5/2014 9:44,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2339350 has been associated to t,Active
7,2341238,3,Problem Circuits,Chronic Circuit Master Ticket,Geodis Wilson,"GSCOUSWBU 12303 Airport Way, Suite 170, Broomfield, CO 80021",Global,Problem,Circuit,5/6/2014 7:42,5/6/2014 7:42,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2341234 has been associated to t,Active
7,2342766,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,"The Woodlands_1201 Lake Woodlands Dr STE 700 Woodlands, TX 77380",Global,Problem,Circuit,5/6/2014 15:07,5/6/2014 15:07,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2342762 has been associated to t,Active
7,2343266,3,Problem Circuits,Chronic Circuit Master Ticket,Morrison Supply Company,"BRANCH# 42 - 101 SE D Ave., Lawton, OK 73501",Global,Problem,Circuit,5/6/2014 17:06,5/6/2014 17:06,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2343262 has been associated to t,Active
9,2343478,3,Problem Circuits,Chronic Circuit Master Ticket,Tecta America,"1808 Swift Dr #Unit C, Oak Brook IL 60523",Global,Problem,Circuit,5/6/2014 20:22,5/6/2014 20:22,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2343474 has been associated to t,Active
1,2343594,3,Problem Circuits,Chronic Circuit Master Ticket,Metal Sales Manufacturing Corporation,"2727 E. Trent Ave., Spokane, WA 99202",Commercial,Problem,Circuit,5/7/2014 5:25,5/7/2014 5:24,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2343590 has been associated to t,Active
1,2344918,3,Problem Circuits,Chronic Circuit Master Ticket,ACT Pipe & Supply,5817 S General Bruce Dr Temple TX 76502,Commercial,Problem,Circuit,5/7/2014 14:36,5/7/2014 14:36,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2344914 has been associated to t,Active
4,2346618,3,Problem Circuits,Chronic Circuit Master Ticket,"eVestment Alliance, LLC","58 W 40th St New York, NY 10018",Enterprise,Problem,Circuit,5/8/2014 10:57,5/8/2014 10:57,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2346614 has been associated to t,Active
4,2347010,3,Problem Circuits,Chronic Circuit Master Ticket,"AER Manufacturing, LP","11 Chapin Rd Pine Brook, NJ 07058",Enterprise,Problem,Circuit,5/8/2014 12:36,5/8/2014 12:36,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2347006 has been associated to t,Active
1,2347090,3,Problem Circuits,Chronic Circuit Master Ticket,Quoizel Inc.,590 Old Willets Path Hauppauge NY 11788,Commercial,Problem,Circuit,5/8/2014 12:47,5/8/2014 12:47,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2347086 has been associated to t,Active
1,2348918,3,Problem Circuits,Chronic Circuit Master Ticket,ACT Pipe & Supply,8921 Frey Rd Houston TX 77034,Commercial,Problem,Circuit,5/8/2014 22:12,5/8/2014 22:12,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2348914 has been associated to t,Active
7,2349574,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,Mayfair_2500 N Mayfair Rd STE G-140 Wauwatosa WI 53226,Global,Problem,Circuit,5/9/2014 11:25,5/9/2014 10:14,,"Bin, Problem Circuit","Bin, Problem Circuit",Requesting update of Status according to carrier. Is this a larger outage issue? Was there a fiber c,Active
4,2333834,3,Problem Circuits,Chronic Circuit Master Ticket,JW Aluminum Company,"435 Old Mt. Holly Rd., Goose Creek, SC 29445",Enterprise,Problem,Circuit,5/9/2014 16:00,4/30/2014 16:54,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2350954 has been associated to t,Active
7,2351006,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,"Ridgedale Center_12401 Wayzala Blvd #2nd Floor Mall Office, Minnetonka MN 55305",Global,Problem,Circuit,5/9/2014 16:14,5/9/2014 16:14,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2351002 has been associated to t,Active
7,2348994,3,Problem Circuits,Chronic Circuit Master Ticket,Methode Electronics,"1700 Hicks Rd., Rolling Meadows, IL 60008",Global,Problem,Circuit,5/9/2014 16:54,5/9/2014 0:17,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2351170 has been associated to t,Active
7,2351790,3,Problem Circuits,Chronic Circuit Master Ticket,"Almost Family, Inc.",9510 Ormsby Station Rd Louisville KY 40223,Global,Problem,Circuit,5/10/2014 16:08,5/10/2014 16:08,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2351786 has been associated to t,Active
7,2325850,3,Problem Circuits,Chronic Circuit Master Ticket,"PLS Financial Services, Inc",1808 Swift Dr Oak Brook IL 60523,Global,Problem,Circuit,5/11/2014 1:44,4/26/2014 15:11,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2351922 has been associated to t,Active
7,2351302,3,Problem Circuits,Chronic Circuit Master Ticket,Horne LLP,11259 Old 63 Hwy Lucedale MS 39452,Global,Problem,Circuit,5/11/2014 11:49,5/9/2014 18:35,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2352110 has been associated to t,Active
7,2352898,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,"Altamonte Mall_451 E Altamonte Dr., STE 2165, Altamonte Springs FL 32701",Global,Problem,Circuit,5/12/2014 10:37,5/12/2014 10:37,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2352894 has been associated to t,Active
7,2326318,3,Problem Circuits,Chronic Circuit Master Ticket,Morrison Supply Company,"BRANCH# 34 - 10130 Jones Maltsberger Rd., San Antonio, TX 78216",Global,Problem,Circuit,5/13/2014 0:08,4/27/2014 19:47,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2354798 has been associated to t,Active
1,2343342,3,Problem Circuits,Chronic Circuit Master Ticket,"Safe Harbors Business Travel Group, Inc.",126 South Main St Bel Air MD 21014,Commercial,Problem,Circuit,5/15/2014 9:24,5/6/2014 17:31,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2360506 has been associated to t,Active
7,2305278,3,Problem Circuits,Chronic Circuit Master Ticket,Nephrology Associates of Northern IL/IN,1453 N Baldwin Ave Marion IN 46952,Enterprise,Problem,Circuit,5/15/2014 21:52,4/16/2014 6:30,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2362578 has been associated to t,Active
7,2325938,3,Problem Circuits,Chronic Circuit Master Ticket,Morrison Supply Company,"BRANCH# 100 - 40 Butterfield Cir., El Paso, TX 79906",Global,Problem,Circuit,5/18/2014 7:10,4/26/2014 19:07,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2365802 has been associated to t,Active
5,2360090,3,Problem Circuits,Problem Circuit 2538DIA7,Diamond Pet Foods,"103 N. Olive St., Meta, MO 65058",Enterprise,Problem,Circuit,5/18/2014 17:55,5/14/2014 21:43,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2360086 has been associated to the problem investigation. 2014-05-14 21:43:22: not a,Active
7,2359494,3,Problem Circuits,Problem Circuit 522ALM163,"Almost Family, Inc.",(160-34) 222 Forbes Rd Ste 304 Braintree MA 02184,Global,Problem,Circuit,5/18/2014 19:17,5/14/2014 16:16,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2359490 has been associated to the problem investigation. 2014-05-14 16:16:38:Over-ut,Active
4,2358386,3,Problem Circuits,Problem Circuit 651Dai5,Daily Express,10019 Sheldon Road Houston TX 77049,Enterprise,Problem,Circuit,5/18/2014 19:39,5/14/2014 11:02,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2358382 has been associated to the problem investigation. 2014-05-14 11:02:23: Circui,Active
0,2357562,3,Problem Circuits,Problem Circuit 3395TSI3,TSI USA,"500 Park Blvd., Itasca, IL 60143",Commercial,Problem,Circuit,5/18/2014 20:47,5/13/2014 19:30,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2357558 has been associated to the problem investigation. 2014-05-13 19:30:08: Circui,Active
4,2366614,3,Problem Circuits,Chronic Circuit Master Ticket,Abatix Corp,"10051 Painter Ave., Santa Fe Springs, CA 90670",Enterprise,Problem,Circuit,5/19/2014 10:13,5/19/2014 10:13,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2366610 has been associated to t,Active
1,2367902,3,Problem Circuits,Chronic Circuit Master Ticket,All Seasons Travel,"2900 Cahaba, Birmingham, AL 35223",Commercial,Problem,Circuit,5/19/2014 15:31,5/19/2014 15:30,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2367898 has been associated to t,Active
4,2370850,3,Problem Circuits,Chronic Circuit Master Ticket,Brooksource,"770 N. Halsted St., Suite 302, Chicago, IL 60642",Enterprise,Problem,Circuit,5/20/2014 23:43,5/20/2014 23:43,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2370846 has been associated to t,Active
0,2372054,3,Problem Circuits,Chronic Circuit Master Ticket,ENGlobal,"1699 E. Woodfield Rd., Suite 502, Schaumburg, IL 60173",Commercial,Problem,Circuit,5/21/2014 12:14,5/21/2014 12:14,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2372050 has been associated to t,Active
7,2373110,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,"Park Meadows_8401 Park Meadows Center Dr Mall Office Lone Tree, CO 80124",Global,Problem,Circuit,5/21/2014 16:50,5/21/2014 16:50,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2373106 has been associated to t,Active
2,2373122,3,Problem Circuits,Chronic Circuit Master Ticket,Peak Travel,"1723 Hamilton Ave, San Jose, CA 95125",Commercial,Problem,Circuit,5/21/2014 16:52,5/21/2014 16:52,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2373118 has been associated to t,Active
1,2373394,3,Problem Circuits,Chronic Circuit Master Ticket,20 20 Eye Care,10232 Westport Rd Louisville KY 40242,Commercial,Problem,Circuit,5/21/2014 21:02,5/21/2014 21:02,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2373390 has been associated to t,Active
6,2373614,3,Problem Circuits,Chronic Circuit Master Ticket,"IDI, LLC",1100 Peachtree St. STE 1100 Atlanta GA,Enterprise,Problem,Circuit,5/22/2014 5:56,5/22/2014 5:56,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2373610 has been associated to t,Active
7,2375022,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,"Mondawmin Mall_2401 Liberty Heights Ave Ste 1200, Baltimore MD 21215",Global,Problem,Circuit,5/22/2014 14:33,5/22/2014 14:33,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2375018 has been associated to t,Active
7,2333734,3,Problem Circuits,Chronic Circuit Master Ticket,Methode Electronics,1150 W. Euclid Ave Palatine IL 60067,Global,Problem,Circuit,5/22/2014 18:30,4/30/2014 16:20,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2375706 has been associated to t,Active
4,2373594,3,Problem Circuits,Chronic Circuit Master Ticket,"PeirsonPatterson, LLP","13750 Omega Rd Dallas, TX 75244",Enterprise,Problem,Circuit,5/23/2014 17:12,5/22/2014 5:45,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2377862 has been associated to t,Active
9,2351342,3,Problem Circuits,Chronic Circuit Master Ticket,Whitlock,273 Great Valley Pkwy Malvern PA 19355,Global,Problem,Circuit,5/23/2014 18:44,5/9/2014 19:18,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2377950 has been associated to t,Active
7,2345510,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,"Towson Town Center_825 Dulaney Valley Rd STE 1105,Towson, MD 21204",Global,Problem,Circuit,5/23/2014 19:02,5/7/2014 18:18,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2377958 has been associated to t,Active
4,2378094,3,Problem Circuits,Chronic Circuit Master Ticket,ENT of Georgia,"484 Irvin Ct Suite 140, Decatur, GA 30030",Enterprise,Problem,Circuit,5/24/2014 6:33,5/24/2014 6:33,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2378090 has been associated to t,Active
7,2351890,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,Jordan Creek Town Center_101 Jordan Creek Pwky STE 12518 West Des Moines IA 50266,Global,Problem,Circuit,5/25/2014 0:38,5/10/2014 23:32,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2378338 has been associated to t,Active
1,2378406,3,Problem Circuits,Chronic Circuit Master Ticket,UNITE HERE International Union,"275 7th Ave New York, NY 10001",Commercial,Problem,Circuit,5/25/2014 7:53,5/25/2014 7:53,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2378402 has been associated to t,Active
1,2301310,3,Problem Circuits,Chronic Circuit Master Ticket,Louisville Executive Aviation,"2700 Gast Blvd, Louisville, KY 40205",Commercial,Problem,Circuit,5/25/2014 14:03,4/14/2014 12:23,,"Bin, Problem Circuit","Bin, Problem Circuit",LCON information: Katlyn 502-424-1164 7AM-9PM Everyday.,Active
7,2302514,3,Problem Circuits,Chronic Circuit Master Ticket,"Almost Family, Inc.","496 Memorial Dr., Breese, IL 62230",Global,Problem,Circuit,5/25/2014 14:43,4/14/2014 21:48,,"Bin, Problem Circuit","Bin, Problem Circuit","Initial problem circuit review, for ticket 2302514, is complete. The first ticket was opened on 2014",Active
0,2302530,3,Problem Circuits,Chronic Circuit Master Ticket,NICE,"22, Zarhin Street, 43107 RAANANA ISRAEL",Commercial,Problem,Circuit,5/25/2014 15:10,4/14/2014 22:42,,"Bin, Problem Circuit","Bin, Problem Circuit","Initial problem circuit review, for ticket 2302530 is complete. The first ticket was opened on 2014",Active
0,2302626,3,Problem Circuits,Chronic Circuit Master Ticket,"Mechanical Breakdown Protection, Inc.","200 NE Mulberry St,Lees Summit, MO",Commercial,Problem,Circuit,5/25/2014 16:03,4/15/2014 3:26,,"Bin, Problem Circuit","Bin, Problem Circuit","Initial problem circuit review, for ticket 2302626 is complete. The first ticket was opened on 201",Active
1,2378922,3,Problem Circuits,Chronic Circuit Master Ticket,Henderson Services,"1001 Cherry Blossom Way, Georgetown, KY 40324",Commercial,Problem,Circuit,5/26/2014 15:27,5/26/2014 15:27,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2378918 has been associated to t,Active
7,2379278,3,Problem Circuits,Chronic Circuit Master Ticket,"Almost Family, Inc.","(100-34) Caretenders, 1553 Highway 44 East, Suite 1, Shepherdsville, KY 40165",Global,Problem,Circuit,5/27/2014 6:34,5/27/2014 6:34,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2379274 has been associated to t,Active
7,2379674,3,Problem Circuits,Chronic Circuit Master Ticket,Altour,"115 W Century Rd., Ste 330, Paramus, NJ 07652",Global,Problem,Circuit,5/27/2014 10:03,5/27/2014 10:03,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2379670 has been associated to t,Active
7,2380622,3,Problem Circuits,Chronic Circuit Master Ticket,General Growth Properties,"Riverchase Galleria_2000 Riverchase Galleria Space 147-C, Hoover AL 35244",Global,Problem,Circuit,5/27/2014 13:51,5/27/2014 13:51,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2380618 has been associated to t,Active
0,2339494,3,Problem Circuits,Chronic Circuit Master Ticket,CTI Foods,"59 Custom Foods Drive , Owingsville KY",Commercial,Problem,Circuit,5/27/2014 17:48,5/5/2014 10:10,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2381334 has been associated to t,Active
7,2377982,3,Problem Circuits,Chronic Circuit Master Ticket,US Legal Support,127 North Madison Avenue Pasadena CA 91101,Global,Problem,Circuit,5/27/2014 18:54,5/23/2014 19:50,,"Bin, Problem Circuit","Bin, Problem Circuit",Child Ticket #2381486 has been associated to t,Active
